"특성별(1)","특성별(2)",안전정도별(1),2021
"특성별(1)","특성별(2)",안전정도별(1),범죄 위험
"전체","소계",매우 불안전,13.9
"전체","소계",약간 불안전,34.0
"전체","소계",보통,35.3
"전체","소계",조금 안전,13.7
"전체","소계",매우 안전,3.1
"권역별","장안구",매우 불안전,14.7
"권역별","장안구",약간 불안전,38.5
"권역별","장안구",보통,33.5
"권역별","장안구",조금 안전,10.6
"권역별","장안구",매우 안전,2.6
"권역별","권선구",매우 불안전,20.8
"권역별","권선구",약간 불안전,30.1
"권역별","권선구",보통,32.6
"권역별","권선구",조금 안전,13.7
"권역별","권선구",매우 안전,2.8
"권역별","팔달구",매우 불안전,10.1
"권역별","팔달구",약간 불안전,37.1
"권역별","팔달구",보통,33.4
"권역별","팔달구",조금 안전,16.7
"권역별","팔달구",매우 안전,2.8
"권역별","영통구",매우 불안전,8.2
"권역별","영통구",약간 불안전,33.0
"권역별","영통구",보통,40.4
"권역별","영통구",조금 안전,14.4
"권역별","영통구",매우 안전,4.0
"주택형태별","단독주택",매우 불안전,13.7
"주택형태별","단독주택",약간 불안전,29.5
"주택형태별","단독주택",보통,33.6
"주택형태별","단독주택",조금 안전,18.5
"주택형태별","단독주택",매우 안전,4.7
"주택형태별","아파트",매우 불안전,13.9
"주택형태별","아파트",약간 불안전,30.6
"주택형태별","아파트",보통,34.6
"주택형태별","아파트",조금 안전,18.4
"주택형태별","아파트",매우 안전,2.5
"주택형태별","연립ㆍ다세대",매우 불안전,13.5
"주택형태별","연립ㆍ다세대",약간 불안전,37.4
"주택형태별","연립ㆍ다세대",보통,34.1
"주택형태별","연립ㆍ다세대",조금 안전,11.0
"주택형태별","연립ㆍ다세대",매우 안전,4.1
"주택형태별","기타",매우 불안전,5.3
"주택형태별","기타",약간 불안전,22.7
"주택형태별","기타",보통,45.4
"주택형태별","기타",조금 안전,21.8
"주택형태별","기타",매우 안전,4.9
"성별","남자",매우 불안전,10.8
"성별","남자",약간 불안전,29.5
"성별","남자",보통,37.5
"성별","남자",조금 안전,17.8
"성별","남자",매우 안전,4.4
"성별","여자",매우 불안전,17.0
"성별","여자",약간 불안전,38.5
"성별","여자",보통,33.1
"성별","여자",조금 안전,9.5
"성별","여자",매우 안전,1.8
"연령별","15-19세",매우 불안전,11.5
"연령별","15-19세",약간 불안전,29.5
"연령별","15-19세",보통,48.3
"연령별","15-19세",조금 안전,7.3
"연령별","15-19세",매우 안전,3.4
"연령별","20-29세",매우 불안전,13.6
"연령별","20-29세",약간 불안전,30.7
"연령별","20-29세",보통,31.8
"연령별","20-29세",조금 안전,17.5
"연령별","20-29세",매우 안전,6.3
"연령별","30-39세",매우 불안전,13.0
"연령별","30-39세",약간 불안전,34.3
"연령별","30-39세",보통,35.1
"연령별","30-39세",조금 안전,15.2
"연령별","30-39세",매우 안전,2.5
"연령별","40-49세",매우 불안전,13.7
"연령별","40-49세",약간 불안전,31.5
"연령별","40-49세",보통,36.5
"연령별","40-49세",조금 안전,16.1
"연령별","40-49세",매우 안전,2.2
"연령별","50-59세",매우 불안전,14.9
"연령별","50-59세",약간 불안전,36.0
"연령별","50-59세",보통,32.3
"연령별","50-59세",조금 안전,14.4
"연령별","50-59세",매우 안전,2.3
"연령별","60세 이상",매우 불안전,15.2
"연령별","60세 이상",약간 불안전,40.8
"연령별","60세 이상",보통,36.1
"연령별","60세 이상",조금 안전,7.2
"연령별","60세 이상",매우 안전,0.7
"가구원수별","1인가구",매우 불안전,10.9
"가구원수별","1인가구",약간 불안전,29.2
"가구원수별","1인가구",보통,35.3
"가구원수별","1인가구",조금 안전,20.3
"가구원수별","1인가구",매우 안전,4.3
"가구원수별","2인가구",매우 불안전,15.1
"가구원수별","2인가구",약간 불안전,36.7
"가구원수별","2인가구",보통,35.5
"가구원수별","2인가구",조금 안전,10.3
"가구원수별","2인가구",매우 안전,2.4
"가구원수별","3인가구",매우 불안전,14.6
"가구원수별","3인가구",약간 불안전,35.0
"가구원수별","3인가구",보통,35.3
"가구원수별","3인가구",조금 안전,12.5
"가구원수별","3인가구",매우 안전,2.6
"가구원수별","4인가구",매우 불안전,14.7
"가구원수별","4인가구",약간 불안전,34.0
"가구원수별","4인가구",보통,34.3
"가구원수별","4인가구",조금 안전,13.8
"가구원수별","4인가구",매우 안전,3.2
"가구원수별","5인가구 이상",매우 불안전,11.8
"가구원수별","5인가구 이상",약간 불안전,34.0
"가구원수별","5인가구 이상",보통,38.8
"가구원수별","5인가구 이상",조금 안전,11.3
"가구원수별","5인가구 이상",매우 안전,4.0
